dt,name,value
2000-01,IPCA,0.62
2000-02,IPCA,0.13
2000-03,IPCA,0.22
2000-04,IPCA,0.42
2000-05,IPCA,0.01
2000-06,IPCA,0.23
2000-07,IPCA,1.61
2000-08,IPCA,1.31
2000-09,IPCA,0.23
2000-10,IPCA,0.14
2000-11,IPCA,0.32
2000-12,IPCA,0.59
2001-01,IPCA,0.57
2001-02,IPCA,0.46
2001-03,IPCA,0.38
2001-04,IPCA,0.58
2001-05,IPCA,0.41
2001-06,IPCA,0.52
2001-07,IPCA,1.33
2001-08,IPCA,0.7
2001-09,IPCA,0.28
2001-10,IPCA,0.83
2001-11,IPCA,0.71
2001-12,IPCA,0.65
2002-01,IPCA,0.52
2002-02,IPCA,0.36
2002-03,IPCA,0.6
2002-04,IPCA,0.8
2002-05,IPCA,0.21
2002-06,IPCA,0.42
2002-07,IPCA,1.19
2002-08,IPCA,0.65
2002-09,IPCA,0.72
2002-10,IPCA,1.31
2002-11,IPCA,3.02
2002-12,IPCA,2.1
2003-01,IPCA,2.25
2003-02,IPCA,1.57
2003-03,IPCA,1.23
2003-04,IPCA,0.97
2003-05,IPCA,0.61
2003-06,IPCA,-0.15
2003-07,IPCA,0.2
2003-08,IPCA,0.34
2003-09,IPCA,0.78
2003-10,IPCA,0.29
2003-11,IPCA,0.34
2003-12,IPCA,0.52
2004-01,IPCA,0.76
2004-02,IPCA,0.61
2004-03,IPCA,0.47
2004-04,IPCA,0.37
2004-05,IPCA,0.51
2004-06,IPCA,0.71
2004-07,IPCA,0.91
2004-08,IPCA,0.69
2004-09,IPCA,0.33
2004-10,IPCA,0.44
2004-11,IPCA,0.69
2004-12,IPCA,0.86
2005-01,IPCA,0.58
2005-02,IPCA,0.59
2005-03,IPCA,0.61
2005-04,IPCA,0.87
2005-05,IPCA,0.49
2005-06,IPCA,-0.02
2005-07,IPCA,0.25
2005-08,IPCA,0.17
2005-09,IPCA,0.35
2005-10,IPCA,0.75
2005-11,IPCA,0.55
2005-12,IPCA,0.36
2006-01,IPCA,0.59
2006-02,IPCA,0.41
2006-03,IPCA,0.43
2006-04,IPCA,0.21
2006-05,IPCA,0.1
2006-06,IPCA,-0.21
2006-07,IPCA,0.19
2006-08,IPCA,0.05
2006-09,IPCA,0.21
2006-10,IPCA,0.33
2006-11,IPCA,0.31
2006-12,IPCA,0.48
2007-01,IPCA,0.44
2007-02,IPCA,0.44
2007-03,IPCA,0.37
2007-04,IPCA,0.25
2007-05,IPCA,0.28
2007-06,IPCA,0.28
2007-07,IPCA,0.24
2007-08,IPCA,0.47
2007-09,IPCA,0.18
2007-10,IPCA,0.3
2007-11,IPCA,0.38
2007-12,IPCA,0.74
2008-01,IPCA,0.54
2008-02,IPCA,0.49
2008-03,IPCA,0.48
2008-04,IPCA,0.55
2008-05,IPCA,0.79
2008-06,IPCA,0.74
2008-07,IPCA,0.53
2008-08,IPCA,0.28
2008-09,IPCA,0.26
2008-10,IPCA,0.45
2008-11,IPCA,0.36
2008-12,IPCA,0.28
2009-01,IPCA,0.48
2009-02,IPCA,0.55
2009-03,IPCA,0.2
2009-04,IPCA,0.48
2009-05,IPCA,0.47
2009-06,IPCA,0.36
2009-07,IPCA,0.24
2009-08,IPCA,0.15
2009-09,IPCA,0.24
2009-10,IPCA,0.28
2009-11,IPCA,0.41
2009-12,IPCA,0.37
2010-01,IPCA,0.75
2010-02,IPCA,0.78
2010-03,IPCA,0.52
2010-04,IPCA,0.57
2010-05,IPCA,0.43
2010-06,IPCA,0.0
2010-07,IPCA,0.01
2010-08,IPCA,0.04
2010-09,IPCA,0.45
2010-10,IPCA,0.75
2010-11,IPCA,0.83
2010-12,IPCA,0.63
2011-01,IPCA,0.83
2011-02,IPCA,0.8
2011-03,IPCA,0.79
2011-04,IPCA,0.77
2011-05,IPCA,0.47
2011-06,IPCA,0.15
2011-07,IPCA,0.16
2011-08,IPCA,0.37
2011-09,IPCA,0.53
2011-10,IPCA,0.43
2011-11,IPCA,0.52
2011-12,IPCA,0.5
2012-01,IPCA,0.56
2012-02,IPCA,0.45
2012-03,IPCA,0.21
2012-04,IPCA,0.64
2012-05,IPCA,0.36
2012-06,IPCA,0.08
2012-07,IPCA,0.43
2012-08,IPCA,0.41
2012-09,IPCA,0.57
2012-10,IPCA,0.59
2012-11,IPCA,0.6
2012-12,IPCA,0.79
2013-01,IPCA,0.86
2013-02,IPCA,0.6
2013-03,IPCA,0.47
2013-04,IPCA,0.55
2013-05,IPCA,0.37
2013-06,IPCA,0.26
2013-07,IPCA,0.03
2013-08,IPCA,0.24
2013-09,IPCA,0.35
2013-10,IPCA,0.57
2013-11,IPCA,0.54
2013-12,IPCA,0.92
2014-01,IPCA,0.55
2014-02,IPCA,0.69
2014-03,IPCA,0.92
2014-04,IPCA,0.67
2014-05,IPCA,0.46
2014-06,IPCA,0.4
2014-07,IPCA,0.01
2014-08,IPCA,0.25
2014-09,IPCA,0.57
2014-10,IPCA,0.42
2014-11,IPCA,0.51
2014-12,IPCA,0.78
2015-01,IPCA,1.24
2015-02,IPCA,1.22
2015-03,IPCA,1.32
2015-04,IPCA,0.71
2015-05,IPCA,0.74
2015-06,IPCA,0.79
2015-07,IPCA,0.62
2015-08,IPCA,0.22
2015-09,IPCA,0.54
2015-10,IPCA,0.82
2015-11,IPCA,1.01
2015-12,IPCA,0.96
2016-01,IPCA,1.27
2016-02,IPCA,0.9
2016-03,IPCA,0.43
2016-04,IPCA,0.61
2016-05,IPCA,0.78
2016-06,IPCA,0.35
2016-07,IPCA,0.52
2016-08,IPCA,0.44
2016-09,IPCA,0.08
2016-10,IPCA,0.26
2016-11,IPCA,0.18
2016-12,IPCA,0.3
2017-01,IPCA,0.38
2017-02,IPCA,0.33
2017-03,IPCA,0.25
2017-04,IPCA,0.14
2017-05,IPCA,0.31
2017-06,IPCA,-0.23
2017-07,IPCA,0.24
2017-08,IPCA,0.19
2017-09,IPCA,0.16
2017-10,IPCA,0.42
2017-11,IPCA,0.28
2017-12,IPCA,0.44
2018-01,IPCA,0.29
2018-02,IPCA,0.32
2018-03,IPCA,0.09
2018-04,IPCA,0.22
2018-05,IPCA,0.4
2018-06,IPCA,1.26
2018-07,IPCA,0.33
2018-08,IPCA,-0.09
2018-09,IPCA,0.48
2018-10,IPCA,0.45
2018-11,IPCA,-0.21
2018-12,IPCA,0.15
2019-01,IPCA,0.32
2019-02,IPCA,0.43
2019-03,IPCA,0.75
2019-04,IPCA,0.57
2019-05,IPCA,0.13
2019-06,IPCA,0.01
2019-07,IPCA,0.19
2019-08,IPCA,0.11
2019-09,IPCA,-0.04
2019-10,IPCA,0.1
2019-11,IPCA,0.51
2019-12,IPCA,1.15
2020-01,IPCA,0.21
