"Data","Último","Abertura","Máxima","Mínima","Var%"
"31.12.2010","109,53","109,53","109,53","109,53","-3,37%"
"30.12.2010","113,35","113,35","113,35","113,35","-0,59%"
"29.12.2010","114,02","114,02","114,02","114,02","-1,76%"
"28.12.2010","116,06","116,06","116,06","116,06","0,00%"
"27.12.2010","116,06","116,06","116,06","116,06","2,08%"
"24.12.2010","113,70","113,70","113,70","113,70","-1,47%"
"23.12.2010","115,40","115,40","115,40","115,40","0,58%"
"22.12.2010","114,73","114,73","114,73","114,73","-0,87%"
"21.12.2010","115,74","115,74","115,74","115,74","-1,42%"
"20.12.2010","117,41","117,41","117,41","117,41","2,55%"
"17.12.2010","114,49","114,49","114,49","114,49","-0,87%"
"16.12.2010","115,49","115,49","115,49","115,49","1,16%"
"15.12.2010","114,17","114,17","114,17","114,17","2,39%"
"14.12.2010","111,51","111,51","111,51","111,51","0,90%"
"13.12.2010","110,51","110,51","110,51","110,51","-0,32%"
"10.12.2010","110,87","110,87","110,87","110,87","0,60%"
"09.12.2010","110,21","110,21","110,21","110,21","1,53%"
"08.12.2010","108,55","108,55","108,55","108,55","2,83%"
"07.12.2010","105,56","105,56","105,56","105,56","-0,94%"
"06.12.2010","106,56","106,56","106,56","106,56","-4,22%"
"03.12.2010","111,25","111,25","111,25","111,25","-0,90%"
"02.12.2010","112,26","112,26","112,26","112,26","-4,99%"
"01.12.2010","118,15","118,15","118,15","118,15","-3,41%"
"30.11.2010","122,32","122,32","122,32","122,32","2,50%"
"29.11.2010","119,34","119,34","119,34","119,34","3,37%"
"26.11.2010","115,45","115,45","115,45","115,45","2,20%"
"25.11.2010","112,97","112,97","112,97","112,97","-0,01%"
"24.11.2010","112,98","112,98","112,98","112,98","-1,46%"
"23.11.2010","114,65","114,65","114,65","114,65","4,55%"
"22.11.2010","109,66","109,66","109,66","109,66","1,75%"
"19.11.2010","107,77","107,77","107,77","107,77","1,01%"
"18.11.2010","106,69","106,69","106,69","106,69","-2,15%"
"17.11.2010","109,03","109,03","109,03","109,03","-0,91%"
"16.11.2010","110,03","110,03","110,03","110,03","7,13%"
"15.11.2010","102,71","102,71","102,71","102,71","-1,61%"
"12.11.2010","104,39","104,39","104,39","104,39","3,28%"
"11.11.2010","101,07","101,07","101,07","101,07","-1,14%"
"10.11.2010","102,24","102,24","102,24","102,24","4,42%"
"09.11.2010","97,91","97,91","97,91","97,91","1,37%"
"08.11.2010","96,59","96,59","96,59","96,59","4,30%"
"05.11.2010","92,61","92,61","92,61","92,61","-1,43%"
"04.11.2010","93,95","93,95","93,95","93,95","-2,43%"
"03.11.2010","96,29","96,29","96,29","96,29","-1,70%"
"02.11.2010","97,96","97,96","97,96","97,96","-1,68%"
"01.11.2010","99,63","99,63","99,63","99,63","-0,52%"
"29.10.2010","100,15","100,15","100,15","100,15","0,66%"
"28.10.2010","99,49","99,49","99,49","99,49","-0,01%"
"27.10.2010","99,50","99,50","99,50","99,50","0,77%"
"26.10.2010","98,74","98,74","98,74","98,74","0,67%"
"25.10.2010","98,08","98,08","98,08","98,08","-2,02%"
"22.10.2010","100,10","100,10","100,10","100,10","-1,32%"
"21.10.2010","101,44","101,44","101,44","101,44","-0,01%"
"20.10.2010","101,45","101,45","101,45","101,45","-0,98%"
"19.10.2010","102,45","102,45","102,45","102,45","3,70%"
"18.10.2010","98,79","98,79","98,79","98,79","4,93%"
"15.10.2010","94,15","94,15","94,15","94,15","2,17%"
"14.10.2010","92,15","92,15","92,15","92,15","1,09%"
"13.10.2010","91,16","91,16","91,16","91,16","-5,86%"
"12.10.2010","96,83","96,83","96,83","96,83","-2,87%"
"11.10.2010","99,69","99,69","99,69","99,69","0,00%"
"08.10.2010","99,69","99,69","99,69","99,69","-5,69%"
"07.10.2010","105,70","105,70","105,70","105,70","-0,63%"
"06.10.2010","106,37","106,37","106,37","106,37","-1,85%"
"05.10.2010","108,38","108,38","108,38","108,38","-3,85%"
"04.10.2010","112,72","112,72","112,72","112,72","-0,61%"
"01.10.2010","113,41","113,41","113,41","113,41","-1,73%"
"30.09.2010","115,41","115,41","115,41","115,41","1,46%"
"29.09.2010","113,75","113,75","113,75","113,75","-0,88%"
"28.09.2010","114,76","114,76","114,76","114,76","-0,87%"
"27.09.2010","115,77","115,77","115,77","115,77","-1,62%"
"24.09.2010","117,68","117,68","117,68","117,68","-1,21%"
"23.09.2010","119,12","119,12","119,12","119,12","1,41%"
"22.09.2010","117,46","117,46","117,46","117,46","-1,41%"
"21.09.2010","119,14","119,14","119,14","119,14","0,00%"
"20.09.2010","119,14","119,14","119,14","119,14","0,78%"
"17.09.2010","118,22","118,22","118,22","118,22","2,01%"
"16.09.2010","115,89","115,89","115,89","115,89","-2,26%"
"15.09.2010","118,57","118,57","118,57","118,57","-0,56%"
"14.09.2010","119,24","119,24","119,24","119,24","-1,38%"
"13.09.2010","120,91","120,91","120,91","120,91","-3,48%"
"10.09.2010","125,27","125,27","125,27","125,27","0,00%"
"09.09.2010","125,27","125,27","125,27","125,27","-0,54%"
"08.09.2010","125,95","125,95","125,95","125,95","2,99%"
"07.09.2010","122,29","122,29","122,29","122,29","3,65%"
"06.09.2010","117,98","117,98","117,98","117,98","-0,29%"
"03.09.2010","118,32","118,32","118,32","118,32","-3,80%"
"02.09.2010","122,99","122,99","122,99","122,99","-1,61%"
"01.09.2010","125,00","125,00","125,00","125,00","-5,30%"
"31.08.2010","132,00","132,00","132,00","132,00","1,79%"
"30.08.2010","129,68","129,68","129,68","129,68","0,76%"
"27.08.2010","128,70","128,70","128,70","128,70","1,98%"
"26.08.2010","126,20","126,20","126,20","126,20","1,33%"
"25.08.2010","124,54","124,54","124,54","124,54","1,07%"
"24.08.2010","123,22","123,22","123,22","123,22","3,06%"
"23.08.2010","119,56","119,56","119,56","119,56","-1,12%"
"20.08.2010","120,91","120,91","120,91","120,91","2,79%"
"19.08.2010","117,63","117,63","117,63","117,63","0,75%"
"18.08.2010","116,76","116,76","116,76","116,76","1,44%"
"17.08.2010","115,10","115,10","115,10","115,10","-3,37%"
"16.08.2010","119,11","119,11","119,11","119,11","1,12%"
"13.08.2010","117,79","117,79","117,79","117,79","0,56%"
"12.08.2010","117,13","117,13","117,13","117,13","2,02%"
"11.08.2010","114,81","114,81","114,81","114,81","1,47%"
"10.08.2010","113,15","113,15","113,15","113,15","-0,30%"
"09.08.2010","113,49","113,49","113,49","113,49","-1,75%"
"06.08.2010","115,51","115,51","115,51","115,51","-0,58%"
"05.08.2010","116,18","116,18","116,18","116,18","0,70%"
"04.08.2010","115,37","115,37","115,37","115,37","0,87%"
"03.08.2010","114,38","114,38","114,38","114,38","0,59%"
"02.08.2010","113,71","113,71","113,71","113,71","-2,86%"
"30.07.2010","117,06","117,06","117,06","117,06","0,58%"
"29.07.2010","116,39","116,39","116,39","116,39","-1,97%"
"28.07.2010","118,73","118,73","118,73","118,73","2,29%"
"27.07.2010","116,07","116,07","116,07","116,07","-0,29%"
"26.07.2010","116,41","116,41","116,41","116,41","-3,06%"
"23.07.2010","120,08","120,08","120,08","120,08","-0,14%"
"22.07.2010","120,25","120,25","120,25","120,25","-2,17%"
"21.07.2010","122,92","122,92","122,92","122,92","-2,39%"
"20.07.2010","125,93","125,93","125,93","125,93","-0,79%"
"19.07.2010","126,93","126,93","126,93","126,93","1,05%"
"16.07.2010","125,61","125,61","125,61","125,61","0,80%"
"15.07.2010","124,61","124,61","124,61","124,61","0,81%"
"14.07.2010","123,61","123,61","123,61","123,61","1,92%"
"13.07.2010","121,28","121,28","121,28","121,28","-4,97%"
"12.07.2010","127,62","127,62","127,62","127,62","-1,30%"
"09.07.2010","129,30","129,30","129,30","129,30","-2,75%"
"08.07.2010","132,95","132,95","132,95","132,95","-3,41%"
