"Data","Último","Abertura","Máxima","Mínima","Var%"
"01.12.2015","436,37","438,59","438,59","436,37","-0,51%"
"30.11.2015","438,60","415,31","438,60","415,31","5,58%"
"27.11.2015","415,42","415,36","415,42","415,36","0,00%"
"26.11.2015","415,41","392,38","415,41","392,38","0,00%"
"25.11.2015","415,39","392,38","415,39","392,38","5,87%"
"24.11.2015","392,37","388,67","392,37","388,67","-1,63%"
"23.11.2015","398,88","388,67","398,88","388,67","2,64%"
"20.11.2015","388,62","387,97","388,62","387,97","0,17%"
"19.11.2015","387,95","400,45","400,45","387,95","-3,62%"
"18.11.2015","402,51","410,26","410,26","402,51","-1,92%"
"17.11.2015","410,37","412,11","412,11","410,37","-0,41%"
"16.11.2015","412,05","410,36","412,05","410,36","-3,50%"
"13.11.2015","426,99","410,36","426,99","410,36","2,32%"
"12.11.2015","417,32","402,55","417,32","402,55","3,69%"
"11.11.2015","402,48","414,44","414,44","402,48","0,26%"
"10.11.2015","401,45","414,44","414,44","401,45","-3,73%"
"09.11.2015","417,01","393,84","417,01","393,84","3,88%"
"06.11.2015","401,45","393,84","401,45","393,84","1,93%"
"05.11.2015","393,85","385,72","393,85","385,72","2,11%"
"04.11.2015","385,72","411,31","411,31","385,72","-5,73%"
"03.11.2015","409,15","411,31","411,31","409,15","-1,32%"
"02.11.2015","414,61","429,67","429,67","414,61","-3,51%"
"30.10.2015","429,67","435,87","435,87","429,67","-1,42%"
"29.10.2015","435,87","439,15","439,15","435,87","-0,75%"
"28.10.2015","439,15","435,78","439,15","435,78","0,77%"
"27.10.2015","435,78","442,23","442,23","435,78","-1,46%"
"26.10.2015","442,23","445,24","445,24","442,23","-0,68%"
"23.10.2015","445,24","452,98","452,98","445,24","-1,81%"
"22.10.2015","453,46","469,33","469,33","453,46","-3,38%"
"21.10.2015","469,33","475,62","475,62","469,33","0,43%"
"20.10.2015","467,32","445,12","467,32","445,12","3,63%"
"19.10.2015","450,93","437,80","450,93","437,80","3,57%"
"16.10.2015","435,37","418,99","435,37","418,99","3,91%"
"15.10.2015","418,99","441,58","441,58","418,99","-5,12%"
"14.10.2015","441,58","441,85","441,85","441,58","-0,06%"
"13.10.2015","441,85","410,80","441,85","410,80","7,56%"
"12.10.2015","410,79","413,10","413,10","410,79","-0,01%"
"09.10.2015","410,84","413,10","413,10","410,84","-0,36%"
"08.10.2015","412,31","401,87","442,22","401,87","-6,76%"
"07.10.2015","442,19","401,87","442,19","401,87","10,03%"
"06.10.2015","401,87","495,38","495,38","401,87","-17,90%"
"05.10.2015","489,52","495,38","495,38","489,52","-6,11%"
"02.10.2015","521,36","521,30","521,36","521,30","0,00%"
"01.10.2015","521,36","521,30","521,36","521,30","10,78%"
"30.09.2015","470,63","521,30","521,30","470,63","-9,73%"
"29.09.2015","521,36","533,73","533,73","521,36","3,40%"
"28.09.2015","504,22","489,51","504,22","489,51","3,01%"
"25.09.2015","489,51","467,81","489,51","467,81","4,64%"
"24.09.2015","467,81","474,91","474,91","467,81","-1,50%"
"23.09.2015","474,91","455,55","474,91","455,55","4,25%"
"22.09.2015","455,55","419,15","455,55","419,15","8,68%"
"21.09.2015","419,15","390,34","419,15","390,34","7,38%"
"18.09.2015","390,34","373,48","390,34","373,48","4,51%"
"17.09.2015","373,48","367,58","373,48","367,58","1,61%"
"16.09.2015","367,56","374,69","374,69","367,56","-2,12%"
"15.09.2015","375,52","377,34","377,34","375,52","-0,48%"
"14.09.2015","377,34","388,26","388,26","377,34","-3,96%"
"11.09.2015","392,88","383,98","392,88","383,98","2,32%"
"10.09.2015","383,98","365,87","383,98","365,87","4,92%"
"09.09.2015","365,97","368,20","368,20","365,97","-0,41%"
"08.09.2015","367,47","375,05","375,13","367,47","-2,06%"
"07.09.2015","375,19","375,05","375,19","375,05","0,02%"
"04.09.2015","375,12","362,83","375,12","362,83","3,38%"
"03.09.2015","362,84","372,27","372,27","362,84","-2,53%"
"02.09.2015","372,27","361,69","372,27","361,69","2,92%"
"01.09.2015","361,72","344,42","361,72","344,42","5,08%"
"31.08.2015","344,24","327,16","344,24","327,16","5,25%"
"28.08.2015","327,07","320,71","327,07","320,71","1,97%"
"27.08.2015","320,76","340,72","340,72","320,76","-5,84%"
"26.08.2015","340,67","345,19","345,19","340,67","-1,29%"
"25.08.2015","345,12","352,90","352,90","345,12","-2,22%"
"24.08.2015","352,97","336,71","352,97","336,71","4,82%"
"21.08.2015","336,74","321,80","336,74","321,80","4,80%"
"20.08.2015","321,32","317,47","321,32","317,47","1,16%"
"19.08.2015","317,65","306,87","317,65","306,87","4,90%"
"18.08.2015","302,81","301,86","302,81","301,86","0,31%"
"17.08.2015","301,88","300,59","301,88","300,59","0,44%"
"14.08.2015","300,57","305,06","305,06","300,57","-1,46%"
"13.08.2015","305,01","298,85","305,01","298,85","2,10%"
"12.08.2015","298,75","303,59","303,59","298,75","-4,50%"
"11.08.2015","312,82","313,30","313,30","312,82","-0,15%"
