H,MA,k,n,a_const,b_ols,lb,borda,LR,LR_M2,b_ini,b_med,b_fim,b_ult,sd_ult,P_neg_ult,b_max,b_min,m_ini,m_fim,cai,ini,fim
MM de r,8,2,80,0.923782594570781,0.10714467235193427,0.0406158598837698,-,2.4120675813911134,64.37273412021722,0.23364759758488446,0.12639613092080831,0.03194251893739675,0.033508309974441035,0.10400243870686691,0.3712,0.24197226767142815,0.01880202672039698,2.921076818674874,0.3659471036254146,SIM,2006Q3,2026Q2
"Focus 3,5a",4,1,84,0.9412591900700621,0.07811789421319747,1.6496480740980206,-,37.51302063696977,35.94069927877635,-0.09310093593325854,0.08125490113085071,-0.02489583194498784,0.05889618186354425,0.12309884361216639,0.3176,0.7253314651758317,-1.3328938665080945,-1.5161545836977575,-0.4340153544542349,nao,2005Q3,2026Q2
"const 5,0 (RPM)",1,1,87,0.861814950593756,0.04292636744817999,0.7864156977348044,-,45.3338375934419,26.47397819592385,0.0033449694137473013,0.0524332273324576,-0.052401075638508904,0.021182621395494955,0.08662677044623115,0.3984,0.6564827762147053,-0.812643916639947,0.02419620473965947,-0.37899365294947174,SIM,2004Q4,2026Q2
media expandida de r,1,0,76,0.9140848381712828,0.014030469574068073,0.3748979308704188,-,10.93419535288757,14.4832125922498,-0.07872575741300974,0.007019931651542165,0.001082495732771277,0.036168738949152617,0.14353845846753385,0.40095,0.26139531355087947,-0.4831699674237466,-0.7984392696008442,-0.03846376899645887,nao,2007Q3,2026Q2
NTN-B fwd 5-20a,4,2,75,1.0054137560906595,0.07361489077046093,1.138994794197354,-,34.15516647055199,19.921593654577748,0.7770621473298367,0.14163471987576728,0.17914832753255486,0.1191150448694804,0.2394745139103651,0.3086,1.2499795805383176,-0.9170907489589065,27.135231143596606,5.236751724821681,SIM,2007Q4,2026Q2
NTN-B fwd - premio,1,0,67,0.8810557527242231,0.007880395408578015,1.138994794197354,-,50.36445122552993,15.224611781192493,-0.250360303178896,0.055006937337330725,-0.029291732114103984,0.0318755373486835,0.10408085096580624,0.3863,0.8795720365843512,-0.9606133218427709,-2.1069294016469104,-0.2461629342897973,nao,2009Q4,2026Q2
