H,MA,k,n,la,lb,LR,b_ini,b_fim,b_ult,sd_b_ult,P_bneg_ult,a_ini,a_fim,mult_ini,mult_fim,mult_ult,cai,ini,fim
MM de r,8,2,80,1.9952623149688795,1.9952623149688795,63.22308590908972,0.36542513888362527,0.0949266895018856,0.09642091985136858,0.23680621170606628,0.3434,0.33131342638152034,0.9867188231351941,0.5246682043774368,1.2418327883045277,-0.10364539186285684,SIM,2006Q3,2026Q2
"Focus 3,5a",4,1,84,1.9952623149688795,1.9952623149688795,68.52198765850673,-0.10023017596593294,0.09663834180572467,0.11438153710428695,0.1711332027137284,0.2553,1.293953220539477,1.1400913705450793,-0.5747519457941866,-0.8025450943959771,-0.0865297619770864,nao,2005Q3,2026Q2
"const 5,0 (RPM)",1,1,87,1.9952623149688795,1.2022644346174132,70.1221217018298,0.006584012960665686,0.06967018640287714,0.06592415576677298,0.10900124234976845,0.2708,1.296709267184632,1.1188891179491074,0.0010146745054253493,-0.8584036980271729,-0.059382876572813,nao,2004Q4,2026Q2
media expandida de r,1,4,76,1.9952623149688795,1.2022644346174132,48.38413964452488,-0.475989948404133,-0.02475605867746832,0.0036183290420898004,0.07839892735943957,0.47845,1.4283566013906852,0.8844504608789605,-0.5077196313018273,-0.9821587628481672,-0.06446840633907841,nao,2007Q3,2026Q2
NTN-B fwd 5-20a,4,3,75,1.9952623149688795,1.9952623149688795,58.78903575888785,1.3820644786566372,0.03474957969869226,0.030596367168153657,0.15164216299132482,0.4159,0.3006181762092483,0.9220837796820381,2.2317519958823495,1.2277130323007779,-0.10172503210510311,SIM,2007Q4,2026Q2
NTN-B fwd - premio,1,0,67,0.7244359600749899,1.2022644346174132,65.6161962994232,-0.25710762490258354,-0.04670571009195094,0.01959665141464893,0.12900105145002344,0.4434,0.6943972783718408,0.8388497313153975,-0.8103042032731935,-0.41248675058072504,-0.09654908738969312,nao,2009Q4,2026Q2
