,h,h_l1,s_h,rr_IS,rr_TAY,rr_IS_total,rr_TAY_total,r_hat
2001Q4,-0.9368326165735809,0.07005987947066479,0.3318839957134174,0.17180856637554381,1.0287584636786384,11.411042711933476,12.26799260923657,0.7812667325296805
2002Q1,-0.3921978931618555,-0.9368326165735816,0.28021569772513644,0.1697261105487754,1.0425731693842983,11.265775455294628,12.13862251413015,0.45474540959691445
2002Q2,-0.21700741518475553,-0.3921978931618558,0.14824207553562993,0.1651951355018109,1.0563878750899582,11.1186553514974,12.009848091085548,0.3118493039353897
2002Q3,-0.22584575588843453,-0.2170074151847558,-0.028868650288386144,0.1589852176288457,1.064404223119008,10.971437943697895,11.876856949188056,-0.253704344876002
2002Q4,-0.43173232886100255,-0.22584575588843447,-0.2424773425367048,0.15310540570593237,1.080795113605733,10.827416400208714,11.755106108108514,-2.3301936639196508
2003Q1,-0.7402755721907883,-0.4317323288610026,-0.4594575796180893,0.15367929649377957,0.9723489881119143,10.693939237872588,11.512608929490723,-0.6539681872784445
2003Q2,-0.8607828240054923,-0.7402755721907884,-0.5603885777062736,0.1646686673996269,0.872130311837898,10.574832474017398,11.28229411845567,1.109523513909122
2003Q3,-1.0549240729609586,-0.8607828240054922,-0.4663320551833792,0.1838405842880888,0.823348890332215,10.467414733871657,11.106923039915783,-0.08477820430492751
2003Q4,-1.1342152993120975,-1.0549240729609586,-0.22019926737716428,0.2054762950357979,0.8793926148017237,10.366315194789202,11.040231514555128,-1.6538977167030553
2004Q1,-0.7689582798124228,-1.1342152993120975,0.0683330147981176,0.2205993857281371,0.9732751189650743,10.262967286320132,11.015643019557068,-2.3228675342975973
2004Q2,-0.17380719124453747,-0.768958279812423,0.22295382475245945,0.22498051637462702,1.0036629610941616,10.15264624855013,10.931328693269664,-2.0634291855574887
2004Q3,0.28935583271518517,-0.17380719124453742,0.16138602765766083,0.22689725610446004,1.0227584106036316,10.041820313091703,10.837681467590876,-1.1700229140499505
2004Q4,0.4974558616986954,0.2893558327151853,0.05490637282801311,0.2334980733650107,1.0386142460147356,9.9346795804573,10.739795753107025,-0.2868048783706027
2005Q1,0.5456889659395516,0.4974558616986955,0.049162719197828275,0.23909144956974926,1.0235930042287669,9.821984710589248,10.606486265248266,1.0532339247492177
2005Q2,0.46285878252314916,0.5456889659395516,0.02434456013731169,0.24453551133479684,0.9817040916856191,9.70101269187941,10.438181272230231,1.914367619496798
2005Q3,0.2260692665219923,0.4628587825231491,-0.002575618704013599,0.25529079423333906,0.9279548179553103,9.57445062503565,10.247114648757622,2.1016101341914326
2005Q4,0.031595282773539984,0.22606926652199225,0.08197188456115635,0.26685176099927693,0.8697347589773187,9.436368852383344,10.039251850361387,1.8013389183561603
2006Q1,-0.022582372711809184,0.03159528277353993,0.18692921081501607,0.27419335474554324,0.8219117243669322,9.281791259707148,9.829509629328538,0.8397637743530224
2006Q2,0.0021550819569071678,-0.022582372711809157,0.2111920351902503,0.2806113607352683,0.7739944888205927,9.115355194116518,9.608738322201843,0.4188976755774862
2006Q3,0.12857865407442326,0.0021550819569071122,0.22502888500964735,0.2860438149388646,0.7206376433029402,8.93903647663387,9.373630304997945,-0.0266479157166839
2006Q4,0.2780015407075722,0.1285786540744232,0.22772615810129238,0.2951349814121725,0.6640587282757874,8.75995434951475,9.128878096378365,-0.6388127157539416
2007Q1,0.5304708900843076,0.27800154070757216,0.31696434590825606,0.3016232338388945,0.6067556842547124,8.574484287079581,8.8796167374954,-1.014904238063224
2007Q2,0.8330894112168836,0.5304708900843076,0.3649933680287928,0.3050262090799006,0.5378559210105536,8.384566228241988,8.617395940172642,-1.2324260679452397
2007Q3,1.1013386102806224,0.8330894112168836,0.36372127228395523,0.30772585020697657,0.4687878523826843,8.194558617498872,8.355620619674578,-1.6147164717083193
2007Q4,1.322993750411572,1.1013386102806224,0.3631334111993111,0.30953857916354677,0.41259750069335477,8.005674753306979,8.108733674836786,-1.5030940133369213
2008Q1,1.5217273332788779,1.322993750411572,0.3593482240371716,0.3037230642876793,0.3431914613012669,7.811753311379263,7.851221708392851,-0.9810072470397686
2008Q2,1.4961174835366717,1.5217273332788777,0.21058416748036,0.28555748900163913,0.2744226879138266,7.607906510366516,7.596771709278704,0.6244510220350684
2008Q3,1.0237262968483898,1.496117483536672,-0.18867693761235754,0.26826423369878943,0.18968384274154948,7.406767463276401,7.32818707231916,1.419412716343201
2008Q4,0.11793740523584972,1.0237262968483898,-0.5776321017660017,0.27256704046092517,0.08186223288277361,7.229039400124415,7.0383345925462635,0.7994667914231665
2009Q1,-1.4765825283119405,0.11793740523584995,-0.5374530604917858,0.2866026332332987,-0.015693207197996273,7.063893330883289,6.761597490451994,-1.1482942016096034
2009Q2,-1.5744755031223596,-1.4765825283119405,-0.31565355090173036,0.3013107516782828,-0.06497669727916056,6.9039733023878025,6.537685853430359,-1.8353712893942329
2009Q3,-1.0431968258946465,-1.5744755031223598,-0.09314240518187539,0.3150258869989669,-0.07980372199489846,6.748779555783212,6.3539499467893465,-1.7707161640072966
2009Q4,-0.34620681639347106,-1.043196825894646,0.1045493731002472,0.32772243459582945,-0.10557665222033746,6.598493448576094,6.165194361759927,-0.6667112834275637
2010Q1,0.5422968507734416,-0.3462068163934711,0.28528665437558554,0.3369020768217891,-0.14758519457097174,6.449913818802335,5.965426547409574,0.23200379881865107
2010Q2,0.9014849552198375,0.5422968507734415,0.40426736749757275,0.342271891825017,-0.1793021130204338,6.301833032262548,5.780259027417098,0.5662121643548825
2010Q3,1.1219907573833825,0.9014849552198376,0.4603950659065782,0.3464413649513951,-0.23335297744088912,6.156301428127337,5.576507085735053,0.3581259925013158
2010Q4,1.2719161948964164,1.1219907573833825,0.5108750112536168,0.348760968212379,-0.291998559939602,6.012678134767996,5.371918606616015,0.589716290423417
2011Q1,1.4442169568703596,1.2719161948964162,0.5442076579144149,0.34685915637769527,-0.32595698941081147,5.869040617912494,5.196224472123987,0.9780310961145771
2011Q2,1.5053084928866314,1.4442169568703596,0.5119888032564558,0.3409502110742637,-0.3797454417155599,5.726638718432646,5.005943065642823,1.3738542051062477
2011Q3,1.4062691935534202,1.5053084928866314,0.4173505937529287,0.3354349365744047,-0.4454652543268461,5.591736856253481,4.810836665352229,0.9748216653070945
2011Q4,1.2213573292474493,1.40626919355342,0.3487217777944649,0.33214410560743574,-0.5113127990138984,5.469101172517128,4.625644267895794,-0.8832508301743611
2012Q1,1.1258433891574309,1.2213573292474496,0.34164586681120823,0.330432996955191,-0.5461565611446677,5.361841224794415,4.485251666694556,-1.2028843242153378
2012Q2,1.2708529951349776,1.1258433891574309,0.3822779187396088,0.32474791334528486,-0.5721767666571566,5.267813152899092,4.370888472896651,-2.0125274449217896
2012Q3,1.4053420907306737,1.2708529951349776,0.35567392255344055,0.31723965814408556,-0.5669279820560479,5.192032315204126,4.307864675003993,-2.7702843685922165
2012Q4,1.5584824972648355,1.4053420907306737,0.30588677352801197,0.31417490068326315,-0.5514752592599956,5.1425750738405505,4.276924913897291,-3.118231826837833
2013Q1,1.7942964976949611,1.5584824972648355,0.36244933688514935,0.31077413857309055,-0.5284225432637921,5.114938466273976,4.275741784437094,-3.0241483681676535
2013Q2,2.0778930111637584,1.7942964976949614,0.4273588619369555,0.30557732744599664,-0.4955983203367148,5.106186452413322,4.30501080463061,-2.1601094014697426
2013Q3,2.328726340335174,2.0778930111637584,0.4727019443576216,0.2993827711043969,-0.46253119178625834,5.113945481443993,4.352031518553338,-1.6202904506431723
2013Q4,2.4718796429130636,2.3287263403351735,0.5171764834356303,0.29118958830706876,-0.4296456691970223,5.132883734961497,4.412048477457406,-1.033101244864114
2014Q1,2.5315101569316436,2.4718796429130636,0.5416465129140947,0.27642652878186436,-0.3914850147969384,5.153273458230697,4.485361914651895,-0.10288095814654516
2014Q2,2.428212352952001,2.531510156931643,0.4511201309413421,0.25773522318120223,-0.34870155426989846,5.1721360826556815,4.565699305204581,0.35093199333089986
2014Q3,2.0859127088847753,2.4282123529520017,0.29724446059041093,0.23405027233596154,-0.2934532662560809,5.182894475800643,4.655390937208601,0.16547971788155735
2014Q4,1.5474321158323385,2.0859127088847753,0.05109740147504015,0.20708592556663763,-0.22534830231435343,5.182131570729711,4.7496973428487195,0.3253667926493994
2015Q1,0.884106535538588,1.547432115832338,-0.2617707408042671,0.17988931485819415,-0.16191819224779658,5.168012889415367,4.826205382309377,0.8736655028827467
