,selic,i_e,r_hat,h,s_h,pi_L,pi_IPCA,de,de_hat,pi_e,pi_A,rr_IS_total,ipca_4t
2026Q3,13.25,13.45,1.4576780671756007,0.1111230840962146,0.06977926511598452,1.1553179434243352,1.0609599261951501,2.5245627295237734,2.2745627295237734,4.184875757575758,0.75,7.807446175248642,4.392697206424236
2026Q4,13.25,13.61,1.6176780671756008,0.0009176472094391264,0.056799889481086885,1.0823943450828184,1.0050129415475384,0.25,0.0,4.184875757575758,0.75,7.807446175248642,4.7785224415538625
2027Q1,13.25,13.738,1.745678067175601,-0.10811920721588213,0.04623475812909707,1.055821485299104,0.9846262435214725,0.25,0.0,4.184875757575758,0.75,7.807446175248642,4.524244127513164
2027Q2,13.25,13.8404,1.8480780671756003,-0.21088929377506468,0.03763480666574006,1.0383727779562424,0.9712395952480292,0.25,0.0,4.184875757575758,0.75,7.807446175248642,4.021838706512191
2027Q3,13.45,13.92232,1.9299980671756005,-0.3046863708853704,0.03063449945629235,1.0205179141094451,0.9575413437047663,-0.1399250393469314,-0.3899250393469314,4.184875757575758,0.75,7.807446175248642,3.9184201240218064
2027Q4,13.61,13.987856,1.995534067175602,-0.3883625896785613,0.024936292758795865,1.0077209417047168,0.9477235064758587,-0.06194003147754651,-0.3119400314775465,4.184875757575758,0.75,7.807446175248642,3.8611306889501265
2028Q1,13.738,14.0402848,2.0479628671756,-0.4617539439436053,0.020297987810754096,0.9987044530720096,0.9408060563968458,0.0004479748179627985,-0.2495520251820372,4.184875757575758,0.75,7.807446175248642,3.8173105018255
2028Q2,13.8404,14.08222784,2.0899059071755994,-0.5252888683806678,0.01652243632005775,0.9914886523410796,0.9352700940760763,0.05035837985436817,-0.19964162014563183,4.184875757575758,0.75,7.807446175248642,3.781341000653547
2028Q3,13.92232,14.115782272,2.123460339175602,-0.5797255846698202,0.013449160798378738,0.9854483389609007,0.930635965650803,0.09028670388349938,-0.15971329611650062,4.184875757575758,0.75,7.807446175248642,3.754435622599584
2028Q4,13.987856,14.1426258176,2.1503038847756004,-0.6259793136146574,0.01094753356446982,0.9803825330255085,0.9267494793371701,0.12222936310679397,-0.12777063689320603,4.184875757575758,0.75,7.807446175248642,3.733461595460895
2029Q1,14.0402848,14.16410065408,2.1717787212556,-0.665011673804005,0.008911224495110559,0.9761347671949004,0.9234905933919276,0.14778349048543865,-0.10221650951456135,4.184875757575758,0.75,7.807446175248642,3.716146132455977
2029Q2,14.08222784,14.181280523264,2.1889585904396016,-0.6977626536392245,0.007253681528776769,0.9725720800481912,0.9207572998129723,0.16822679238835092,-0.08177320761164908,4.184875757575758,0.75,7.807446175248642,3.701633338192873
2029Q3,14.115782272,14.181280523264,2.1889585904396016,-0.7251113356593769,0.005904451823628363,0.9695901812886036,0.9184695870846167,0.18458143391067866,-0.06541856608932134,4.184875757575758,0.75,7.807446175248642,3.689466959626687
2029Q4,14.1426258176,14.181280523264,2.1889585904396016,-0.7463783154572906,0.004806187202904038,0.9672068249943679,0.916641076135679,0.1976651471285436,-0.052334852871456394,4.184875757575758,0.75,7.807446175248642,3.679358556425196
2030Q1,14.16410065408,14.181280523264,2.1889585904396016,-0.76295596438989,0.003912206606025559,0.9653263704070333,0.9151983913762759,0.20813211770283627,-0.04186788229716373,4.184875757575758,0.75,7.807446175248642,3.671066354409544
2030Q2,14.181280523264,14.181280523264,2.1889585904396016,-0.7759091066812447,0.003184511938898693,0.9638476955386276,0.914063952017235,0.21650569416226834,-0.033494305837731664,4.184875757575758,0.75,7.807446175248642,3.6643730066138067
