,inercia_livres,inercia_ipca,expectativa,commodities,cambio,hiato,clima,total,residuo
2001Q4,,,0.8697494488930627,-0.2514763892387987,,-0.06619304673363625,-0.049158436462736356,2.0364556292263414,1.53353405276845
2002Q1,0.5176774268806232,,0.8130285074194448,-0.1986850906670645,-9.824493640069013e-05,-0.027609621453794496,-0.04166669065280674,1.0163939048727588,-0.046252381717242885
2002Q2,0.2583725242133416,,0.7863397933284815,0.05616271695568796,-0.018256229435120508,-0.015233112284758448,-0.004525658999814013,1.0716537744776875,0.008793740699869268
2002Q3,0.27241986543516145,,0.8732338960496016,0.9073230238883814,0.010984515085837651,-0.015889368524363817,0.028774594707610464,2.870447759866801,0.7936012332245723
2002Q4,0.7296824880430219,0.10451981367941961,1.660175327273264,0.6663434962189878,0.05362259596969106,-0.03045352566148777,0.10616043576742377,6.147692683214334,2.8576420519240133
2003Q1,1.5627748937050425,0.16310136778479162,1.817819718021811,-0.004522758561631251,0.03892466554829575,-0.05225036805827348,0.10826156768820791,3.5132216559020213,-0.12088743022622239
2003Q2,0.8930788968771094,0.21188804521080315,1.4405304971253317,-0.4508747595915037,-0.013798308386500206,-0.06076682294219667,0.054950553421011544,2.020624633041201,-0.05438346867285393
2003Q3,0.5136531067567451,0.21148179554364657,1.1444443995420102,-0.0015096251082241383,-0.03949507441247812,-0.07447055584259357,-0.09113978977703316,1.0236980252356531,-0.6392662314664199
2003Q4,0.26022926893236403,0.19523590417343564,1.045896999691773,0.16096603169208612,-0.005535214956543518,-0.0800651967124939,-0.11211828025044152,1.057592251959849,-0.40701726061033106
2004Q1,0.26884535455921177,0.12268370849792357,0.9761897963360588,0.06962798626498622,-0.0040787325607372785,-0.05428904304297534,-0.08353288408862615,1.577164592803415,0.28171840683757354
2004Q2,0.4009232985252301,0.0776728068718114,0.9930192675330722,0.2946510050184002,-0.0025340064700048667,-0.012291403769401367,-0.012074900913578773,1.8883812685739356,0.14901520177840655
2004Q3,0.4800361677687553,0.07932792865586447,1.0708332869166952,-0.1108616606123417,0.010453163794414879,0.020391686399270005,0.012142661588104642,1.7865228461563687,0.22419961164560576
2004Q4,0.45414323631152637,0.08841148802900213,1.0533824339277411,-0.11650952318998334,-0.007756107265243677,0.03507594067314954,0.026369755500497326,1.1111710457758497,-0.42194617821084
2005Q1,0.2824653577254835,0.10032910492858635,0.9617898771613472,-0.05852057227291454,-0.01877501914010972,0.038479056118069364,0.04028784529443008,1.1263323358839503,-0.21972331393094202
2005Q2,0.2863194351424974,0.09949571259608504,0.9206076561195086,-0.22846376500150914,-0.011698842018421845,0.032633780561877254,0.013866333649672697,1.6503334071249487,0.5375730960752387
2005Q3,0.4195231850055791,0.09468829851667225,0.849053162878724,-0.15504836959604296,-0.019587942950845667,0.015924647134502166,-0.01848256862538541,0.5320610335908027,-0.6540093787724011
2005Q4,0.1352526334773967,0.07948839902840427,0.7972377908695277,0.12080535866557379,-0.015309903700941116,0.0022014453201725536,-0.02833061457849532,0.9181302331134678,-0.17321487596817065
2006Q1,0.23339339674199217,0.07562778024463956,0.7733301925592772,0.06496679816432865,-0.011256441858212562,-0.0016219988589078656,0.014788927065493361,0.7603570149592676,-0.38887163909934275
2006Q2,0.19328663849370636,0.07141264261076381,0.7277911905722838,-0.029849224736382386,-0.007539243785550142,0.00012308001044705692,0.03249515352697796,-0.2335811388753605,-1.221301375567607
2006Q3,-0.05937751906079096,0.05269638938627327,0.7600581354454411,-0.05885278180730469,-0.0025906372653008635,0.009043502786721018,0.015038959878522619,0.9498745784882524,0.23385852912469085
2006Q4,0.24146297154430268,0.04899118835046283,0.7101031008773624,-0.002196972752539641,-0.0034369744647506227,0.0195869838794264,-0.008639884035114932,1.0690072496767566,0.06313683627760747
2007Q1,0.271747105307487,0.042341339393468264,0.6741074177257174,-0.038914076050320275,-0.0036666170600259426,0.037402056735836825,-0.007633640121540969,1.0369683455516032,0.06158475962098087
2007Q2,0.2636026521656892,0.04029619584860952,0.6051655644048793,-0.17108669907585292,-0.006515580625131805,0.058756369952327546,0.0104923493402951,0.9595679671898338,0.1588571151790179
2007Q3,0.24392708048376177,0.0482957879457128,0.6348047046219993,-0.04536764941713144,-0.01668960973733091,0.07768622175703055,0.003175154323866801,1.9217741778993824,0.9759424879214735
2007Q4,0.48852481595119696,0.05519816456420849,0.6839522697573741,-0.019072766823957914,-0.009576636905420937,0.09332872743511694,0.1242049475947855,1.6983102400299543,0.28175071845665123
2008Q1,0.43171914108323767,0.05979521699847097,0.7409722189507107,0.24336563646501283,-0.01891187805747611,0.10735281840528388,0.23961027546407945,1.309664561275392,-0.49423886803392714
2008Q2,0.3329234236325367,0.06318867277486849,0.8065248609163881,0.07425585711790414,-0.008226132330272931,0.10554181280436581,0.24425634465076176,2.781441154669784,1.1629763151032324
2008Q3,0.70705655419379,0.07955511325377156,0.912741763057576,-0.12878275603987852,-0.013333091594633433,0.07219295504970887,0.0010150546862465982,1.6639605791753942,0.03351498656881291
2008Q4,0.4229872817732628,0.08277880128502547,0.9089074604780325,-0.05188658942372153,0.00015120376991988946,0.008241820798515362,-0.2292423776466176,1.1069827321318335,-0.03495486890258337
2009Q1,0.28140066699562605,0.07861717450782922,0.7942065658210028,-0.17687765959879284,0.07464160466826437,-0.10421456521700499,-0.23646912568456896,0.7368151429211434,0.025510481428787868
