,h,h_l1,s_h,rr_IS,rr_TAY,rr_IS_total,rr_TAY_total,r_hat
2001Q4,-0.9380707582923393,0.0700369462421695,0.34622186011000045,0.07625727289210019,1.0292411557432848,11.315440189069696,12.26842407192088,0.8768692553934583
2002Q1,-0.3912764226965907,-0.9380707582923402,0.2923214175780636,0.07291421321970978,1.0430623432899744,11.16889880574855,12.139046935818815,0.5516220591429923
2002Q2,-0.21587973204524397,-0.3912764226965912,0.15910305784294296,0.06713712641271499,1.0568835308366642,11.020519099372983,12.010265503796932,0.40998555605980747
2002Q3,-0.22518002593861844,-0.21587973204524413,-0.01848631909998144,0.05968111958822116,1.0649088244291478,10.872042216310511,11.877269921151438,-0.15430861748862024
2002Q4,-0.43157949844647847,-0.22518002593861838,-0.23213188872437232,0.05254360293486782,1.0813110979907936,10.726749807676734,11.75551730273266,-2.229527071387673
2003Q1,-0.740478717994582,-0.4315794984464785,-0.44895329819394064,0.05184122290186925,0.9728787825928769,10.591983618661635,11.513021178352643,-0.5520125680674914
2003Q2,-0.8611717165065339,-0.7404787179945822,-0.5496690236788658,0.06153253734007816,0.8726763496582395,10.471566691189041,11.282710503507204,1.2127892967374778
2003Q3,-1.0553774790096617,-0.8611717165065338,-0.4553992693807163,0.07938346327895862,0.8239136291487157,10.362816819270675,11.107346985140433,0.019819710296052784
2003Q4,-1.134663284123295,-1.0553774790096617,-0.20907036185974992,0.09967477847070028,0.8799785568940697,10.260363108787272,11.040666887210643,-1.5479456307011241
2004Q1,-0.769370293215565,-1.134663284123295,0.07963938762946304,0.11342928950015319,0.9738848340618258,10.155638696435725,11.016094240997397,-2.215538944413192
2004Q2,-0.17419059891347377,-0.7693702932155653,0.23441018003179317,0.11641829948604543,1.004299112469199,10.043920046164166,10.93180085914732,-1.954702983171523
2004Q3,0.2889857117530503,-0.17419059891347397,0.17298476575051336,0.11691952966668451,1.0234237851525618,9.931676221505978,10.838180476991855,-1.0598788224642237
2004Q4,0.4970871698576513,0.28898571175305027,0.06664914147395148,0.1220812898418341,1.039311789073453,9.823097946628703,10.740328445860323,-0.1752232445420073
2005Q1,0.5453152427973744,0.49708716985765117,0.06105395522643495,0.1262117567815001,1.0243258599446226,9.70894646311213,10.607060566275253,1.1662721722263365
2005Q2,0.46247750765746193,0.5453152427973745,0.03638861099883482,0.13016870539662667,0.9824756497932058,9.586499396955295,10.438806341351874,2.0288809144209106
2005Q3,0.2256799852877802,0.46247750765746204,0.009624701183228668,0.13941231645421545,0.9287687678410732,9.458444582468928,10.247801033855787,2.2176161767581566
2005Q4,0.0311983143659105,0.22567998528778016,0.0943311160824291,0.14943670824139482,0.8705951519370099,9.31885319749627,10.040011641191887,1.9188545732432332
2006Q1,-0.022986548808484275,0.031198314365910446,0.19944951494517354,0.15521649239056276,0.822823044963769,9.1627500560341,9.830356608607307,0.9588049780260701
2006Q2,0.0017442581121142053,-0.022986548808484275,0.223875455513943,0.16004713826333555,0.774961736235885,8.994773511859332,9.609688109831882,0.5394793578346722
2006Q3,0.1281621852351959,0.0017442581121142053,0.23787776186383872,0.16386638643870444,0.7216664235304682,8.816900453385268,9.374700490477032,0.09548810753191828
2006Q4,0.27758167552509017,0.1281621852351959,0.24074365892208108,0.17131822619056347,0.6651553579414465,8.636251221780178,9.13008835353106,-0.5151095880193681
2007Q1,0.5300522857795964,0.2775816755250902,0.33015503282086706,0.17614075234333496,0.6079273067386181,8.449202360321586,8.88098891471687,-0.8896223113052284
2007Q2,0.832680096105576,0.5300522857795964,0.3783633061020093,0.177851233912075,0.5391106354042557,8.257694716876516,8.618954118368698,-1.1055545565797678
2007Q3,1.1009490656282583,0.8326800961055761,0.3772764179093966,0.17883096860943354,0.470134855623476,8.066087242035232,8.357391129049276,-1.4862450962446805
2007Q4,1.3226306150828808,1.1009490656282583,0.3768740353153217,0.17889514832998446,0.4140472429747619,7.875592965993254,8.110745060638031,-1.3730122260231976
2008Q1,1.5213764093909132,1.322630615082881,0.37325664059086094,0.17130030575738467,0.34475581455753457,7.680049125905412,7.853504634705562,-0.8493030615659171
2008Q2,1.4957113058618199,1.521376409390913,0.22460495689768095,0.15132163997275505,0.2761151268105587,7.474565302150438,7.5993587889882415,0.7577922302511464
2008Q3,1.02309990895814,1.4957113058618199,-0.1746571130562971,0.13217902377856627,0.1915196371688792,7.271771997106039,7.331112610496351,1.554408182513564
2008Q4,0.11680095520129807,1.02309990895814,-0.5637792998154136,0.1345982448998697,0.08385865043643048,7.092373824241383,7.0416342297779435,0.9361323673061985
2009Q1,-1.4769018959289704,0.11680095520129852,-0.5238974635862794,0.1467310717883734,-0.013516690852913849,6.925555494756238,6.765307732114951,-1.0099563654825525
2009Q2,-1.57465740269578,-1.47690189592897,-0.30222192177218626,0.15951905569871244,-0.06259818294010755,6.7639607092859215,6.541843470647101,-1.6953586962923521
2009Q3,-1.0433605722697166,-1.57465740269578,-0.07962871813584549,0.17129647791223218,-0.07719866988527646,6.607086382683903,6.358591234886394,-1.6290229909079874
2009Q4,-0.3462471019896748,-1.0433605722697161,0.11835022157895903,0.18203765030671776,-0.10271766776121033,6.45510956062472,6.170354242556792,-0.5233273954761893
