,selic,i_e,r_hat,h,s_h,pi_L,pi_IPCA,de,de_hat,pi_e,pi_A,rr_IS_total,ipca_4t
2026Q3,15.25,15.05,3.057678067175602,0.1111230840962146,0.06977926511598452,1.1553179434243352,1.0609599261951501,-1.3746876639455543,-1.6246876639455543,4.184875757575758,0.75,7.807446175248642,4.392697206424236
2026Q4,15.25,14.89,2.897678067175602,-0.17107227699069105,0.056799889481086885,1.060719951142131,0.9883843465162429,0.25,0.0,4.184875757575758,0.75,7.807446175248642,4.761893846522567
2027Q1,15.25,14.762,2.769678067175602,-0.3725478179732682,0.04623475812909707,1.0314277891017776,0.9659113997988837,0.25,0.0,4.184875757575758,0.75,7.807446175248642,4.48890068875928
2027Q2,15.25,14.6596,2.667278067175599,-0.5159698781847253,0.03763480666574006,1.010165967879792,0.9495993305573764,0.25,0.0,4.184875757575758,0.75,7.807446175248642,3.964855003067653
2027Q3,15.05,14.57768,2.5853580671756022,-0.6177316815705978,0.03063449945629235,0.9904868470896032,0.9345015090871436,0.6399250393469313,0.38992503934693135,4.184875757575758,0.75,7.807446175248642,3.838396585959647
2027Q4,14.89,14.512144,2.5198220671756006,-0.6896698446357837,0.024936292758795865,0.9796501921485781,0.926187627416389,0.5619400314775465,0.31194003147754645,4.184875757575758,0.75,7.807446175248642,3.776199866859793
2028Q1,14.762,14.4597152,2.4673932671755994,-0.7403153707201965,0.020297987810754096,0.9722890815757042,0.9205401833848802,0.49955202518203723,0.24955202518203723,4.184875757575758,0.75,7.807446175248642,3.730828650445789
2028Q2,14.6596,14.41777216,2.4254502271755998,-0.7758044951780411,0.01652243632005775,0.9671468609386191,0.9165950717121085,0.4496416201456318,0.1996416201456318,4.184875757575758,0.75,7.807446175248642,3.6978243916005216
2028Q3,14.57768,14.384217728,2.391895795175601,-0.8005411703621363,0.013449160798378738,0.9635253435004575,0.913816643533551,0.40971329611650065,0.15971329611650065,4.184875757575758,0.75,7.807446175248642,3.6771395260469286
2028Q4,14.512144,14.3573741824,2.365052249575599,-0.8176783571647136,0.01094753356446982,0.9610178160392269,0.9118928684652948,0.377770636893206,0.127770636893206,4.184875757575758,0.75,7.807446175248642,3.6628447670958346
2029Q1,14.4597152,14.33589934592,2.3435774130955993,-0.8294672417421871,0.008911224495110559,0.9592768953794444,0.9105572341351097,0.35221650951456135,0.10221650951456135,4.184875757575758,0.75,7.807446175248642,3.652861817846064
2029Q2,14.41777216,14.318719476736,2.326397543911601,-0.8375102731456866,0.007253681528776769,0.9580691620556905,0.9096306611291257,0.3317732076116491,0.08177320761164908,4.184875757575758,0.75,7.807446175248642,3.645897407263081
2029Q3,14.384217728,14.318719476736,2.326397543911601,-0.8429442349584125,0.005904451823628363,0.9572344332193744,0.908990257165904,0.31541856608932134,0.06541856608932134,4.184875757575758,0.75,7.807446175248642,3.641071020895434
2029Q4,14.3573741824,14.318719476736,2.326397543911601,-0.8480498600802328,0.004806187202904038,0.9565566349979053,0.908470250370393,0.3023348528714564,0.052334852871456394,4.184875757575758,0.75,7.807446175248642,3.637648402800532
2030Q1,14.33589934592,14.318719476736,2.326397543911601,-0.852709064127646,0.003912206606025559,0.9559772332565023,0.9080257333543885,0.2918678822971637,0.041867882297163705,4.184875757575758,0.75,7.807446175248642,3.6351169020198113
2030Q2,14.318719476736,14.318719476736,2.326397543911601,-0.8568727620111414,0.003184511938898693,0.955476272249968,0.9076413960701755,0.28349430583773166,0.033494305837731664,4.184875757575758,0.75,7.807446175248642,3.633127636960861
