,persistencia,ancora_real,meta,desvio_expectativa,total,residuo
2001Q4,,2.1355911296615155,0.6962886568452777,0.30256108965761774,19.0,15.865559123835588
2002Q1,,2.113070171580767,0.609252574739618,0.3530762230414854,18.75,15.67460103063813
2002Q2,15.321425744134658,2.0906529089984844,0.609252574739618,0.3077366607705776,18.5,0.17093211135666309
2002Q3,15.114943785187485,2.0675020800968382,0.609252574739618,0.45535488500839744,18.0,-0.24705332503233635
2002Q4,14.537258690390042,2.0463083383102862,0.609252574739618,1.7922338332752814,22.666666666666668,3.681613229951438
2003Q1,21.795826246734723,2.0040965131265995,0.6962886568452777,1.9131703853266744,26.166666666666668,-0.2427151353666055
2003Q2,23.917874846447283,1.9640058355152845,0.6962886568452777,1.2722205041643482,26.33333333333333,-1.5170565096388664
2003Q3,21.859247127037317,1.9334799283494692,0.6962886568452777,0.7692208462125044,22.166666666666668,-3.0915698917779046
2003Q4,15.562714078264005,1.921872779393008,0.6962886568452777,0.6018056625166082,17.666666666666668,-1.1160145103522296
2004Q1,11.626410581344134,1.9175953656862692,0.9573969031622569,0.04276209575297863,16.416666666666668,1.8725017207210293
2004Q2,12.735376086348648,1.9029222342789351,0.9573969031622569,0.07135248998189361,16.0,0.3329522862282648
2004Q3,12.94031007778038,1.8866255317428426,0.9573969031622569,0.2035452050512189,16.083333333333332,0.0954556155966344
2004Q4,13.338579751235645,1.8695922169113033,0.9573969031622569,0.17389918939544616,17.25,0.9105319392953497
2005Q1,15.015953992902563,1.8463939886920768,0.7833247389509375,0.3120477257649789,18.75,0.7922795536894398
2005Q2,16.474473982456395,1.8171056116219662,0.7833247389509375,0.24208617313952085,19.666666666666668,0.3496761604978502
2005Q3,16.847225085822103,1.7838569043702737,0.7833247389509375,0.1205273227956485,19.666666666666668,0.13173261472770292
2005Q4,16.243247437177384,1.747686555089113,0.7833247389509375,0.032501864626546646,18.5,-0.30676059584398274
2006Q1,14.510966136542766,1.7111914498293204,0.7833247389509375,-0.008113057420315298,17.0,0.0026307320972875914
2006Q2,13.05244614698894,1.6727792066742193,0.7833247389509375,-0.08547603599272195,15.583333333333334,0.16025927671195817
2006Q3,11.937288771922676,1.6318744032102548,0.7833247389509375,-0.030660013333023182,14.416666666666666,0.09483876591582074
