,pi_L,pi_IPCA,pi_A,pi_e,i_e,meta,pi_star,de_hat,Zel,Yla,selic,i_dif,de,r_focus,rr_trend,hp_ciclo,rp_hat,fpib,fnuci,femp,fcaged
2001Q4,2.0364556292263414,1.840056619730368,1.8410953850763967,5.03,17.222309444463157,4.0,-9.296104224943786,-0.0401625613892449,0.0,-29.70333333333333,19.0,,0.4598374386107551,12.192309444463156,11.239234145557932,0.9530752989052242,0.07750664883261571,-1.583740029676619,-2.1580602061731753,,0.06466864087042268
2002Q1,1.0163939048727588,1.1783348044228648,1.305522962978789,4.701967213114754,16.422488078006296,3.5,-7.34461519975759,-7.463152425828397,0.03,-25.199999999999996,18.75,,-7.088152425828397,11.720520864891542,11.096049344745852,0.6244715201456899,-0.27432779974624477,0.21873928629946704,-2.003244646376075,,-0.8649419621121979
2002Q2,1.0716537744776877,2.003940819286276,4.469770832693887,4.5476190476190474,15.978123703051837,3.5,2.076117252822167,4.490473276574306,6.1933333333333325,-7.576666666666669,18.5,,4.865473276574306,11.43050465543279,10.95346021599559,0.47704443943720065,-0.41636888532747096,-0.23440490122618485,-1.8848823594836404,,0.1483629448530337
2002Q3,2.870447759866801,2.6991099265358143,2.1442232145567397,5.050151515151515,15.767885113973406,3.5,33.54020399803098,21.920934364493775,30.846666666666664,-6.7299999999999995,18.0,,22.295934364493775,10.71773359882189,10.812452726069047,-0.09471912724715637,-0.38488047448655704,0.4401408946193328,-1.5104582676646743,,0.6288328675764205
2002Q4,6.147692683214334,6.167791872294992,6.710707895220969,9.60125,18.09847273628906,3.5,24.632127927457336,15.912415712330521,87.99000000000002,-4.6466666666666665,22.666666666666668,,16.28741571233052,8.49722273628906,10.674310994502779,-2.1770882582137183,-0.36619712969786145,0.7220698391621454,-1.586169566772341,,0.05437316360962541
2003Q1,3.5132216559020213,4.78246970620908,7.887720882380722,10.512950819672131,20.552921870266275,4.0,-0.16718879693018218,-5.640752876874521,88.89333333333333,-4.083333333333333,26.166666666666668,,-5.140752876874521,10.039971050594144,10.540259941378809,-0.500288890784665,0.16782518658664358,-0.47137116230055653,-0.6327735454104442,,-1.249915689226782
2003Q2,2.0206246330412014,1.9739289660204218,1.7638305333334214,8.330983606557377,20.015339594483898,4.0,-16.667086601036775,-16.145599038250335,39.58666666666669,2.2533333333333334,26.333333333333332,,-15.645599038250335,11.684355987926521,10.410163806617772,1.2741921813087487,0.8467243624498195,-2.1084140534950393,-0.9131228134126701,,-0.8798185471459874
2003Q3,1.0236980252356531,1.4989383389788724,2.6552314536676835,6.618636363636363,17.00127289320309,4.0,-0.05580496995810402,-2.2627976427015524,-73.32000000000002,2.2533333333333334,22.166666666666668,,-1.7627976427015524,10.382636529566728,10.283574149583567,0.09906237998316136,0.6311923502094987,-2.008558254947502,-1.085918486052904,,-0.8281428430329925
2003Q4,1.057592251959849,0.807970002238334,0.47094515158316863,6.048709677419355,14.761127155505502,4.0,5.950288262904538,-1.6673871739589448,-89.53333333333333,2.2533333333333334,17.666666666666668,,-1.1673871739589448,8.712417478086147,10.160838899753404,-1.4484214216672573,0.4115943340333219,-1.8318185240892149,-0.441874990995899,,-1.4598159977470004
2004Q1,1.577164592803415,1.4572717203949592,1.0681566372386264,5.645573770491803,13.585673522514337,5.5,2.5738758984551344,-1.0359026545372094,-61.676666666666684,-2.2533333333333334,16.416666666666668,,-0.16090265453720942,7.940099752022534,10.042367900591994,-2.1022681485694603,0.30453989728452724,-1.3396970325104007,0.014606620418689431,,-2.3013915304152306
2004Q2,1.8883812685739354,2.0962017360334873,2.4021283932623927,5.742903225806452,13.832120288799095,5.5,10.892101882512964,4.273256698877263,-6.4499999999999975,-2.2533333333333334,16.0,,5.148256698877263,8.089217062992642,9.927665732175504,-1.8384486691828617,-0.20041848005504637,0.47058781473378986,1.121550937483903,-1.1055253307029744,-0.9275499857810701
2004Q3,1.7865228461563687,2.169989845177933,3.162970977329005,6.192923076923077,15.064720475964831,5.5,-4.098124498773707,-3.170699128059381,12.26666666666667,-2.2533333333333334,16.083333333333332,,-2.295699128059381,8.871797399041753,9.814923056987244,-0.9431256579454903,-0.23947418550775978,0.7791999003098908,2.4704931079057673,-0.6428882053286031,0.7410219132420934
2004Q4,1.1111710457758495,1.6883886181412011,3.2368667693958297,6.092,15.739874702086697,5.5,-4.306904016122591,-7.675233822978052,20.380000000000006,0.0,17.25,,-6.800233822978052,9.647874702086696,9.701181507092288,-0.05330680500559204,-0.10687400074361753,0.5740346218248646,2.431379901645599,-0.4227363968209801,0.6913358832480299
2005Q1,1.1263323358839505,1.3957045354395126,1.971653907292037,5.562295081967213,16.43751371730568,4.5,-2.163277995198909,-4.782490354837712,31.136666666666677,0.0,18.75,,-4.157490354837712,10.875218635338467,9.5828932610195,1.2923253743189669,-0.1560025896158601,0.46650752768437087,2.426542493524991,-0.21339745077454353,-0.5113439682104399
2005Q2,1.6503334071249487,1.7410521381288735,1.7941967574257145,5.324126984126984,16.93950729550319,4.5,-8.445416993244397,-8.007557336530981,10.716666666666669,0.0,19.666666666666668,,-7.382557336530981,11.615380311376207,9.456477180544612,2.158903130831595,0.002237445328412857,0.5095096410687461,2.361835433308471,0.10536427678578697,0.6023161115331277
2005Q3,0.5320610335908027,1.0470913175544716,2.3229483933426165,4.9103076923076925,16.586368451534778,4.5,-5.731535306496457,-6.258693524363215,-15.120000000000008,0.6533333333333334,19.666666666666668,,-5.633693524363215,11.676060759227084,9.319159830802313,2.3569009284247713,0.41773764020998616,-1.104777772402656,2.1267463492572745,-0.6880155796341647,1.2415806743674693
